"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"28",5,"Juwan Johnson",NO,"11","3 out of 5 stars","+6"
"29",5,"Ja'Tavion Sanders",CAR,"14","4 out of 5 stars","+1"
"30",5,"Elijah Arroyo",SEA,"8","4 out of 5 stars","+1"
"31",5,"Cole Kmet",CHI,"5","4 out of 5 stars","+2"
"32",5,"Noah Gray",KC,"10","3 out of 5 stars","+6"
"33",5,"Harold Fannin Jr.",CLE,"9","3 out of 5 stars","+4"
"34",5,"Theo Johnson",NYG,"14","2 out of 5 stars","+1"
"35",5,"Taysom Hill",NO,"11","3 out of 5 stars","-11"
"36",5,"Darren Waller",MIA,"12","3 out of 5 stars","-13"
"37",6,"Terrance Ferguson",LAR,"8","4 out of 5 stars","-5"
"38",6,"Noah Fant",CIN,"10","2 out of 5 stars","+2"
"39",6,"Oronde Gadsden II",LAC,"12","3 out of 5 stars","+2"
"40",6,"Tyler Higbee",LAR,"8","4 out of 5 stars","-1"
"41",6,"Ben Sinnott",WAS,"12","3 out of 5 stars","+2"
"42",6,"Will Dissly",LAC,"12","3 out of 5 stars","0"
"43",6,"Tyler Conklin",LAC,"12","3 out of 5 stars","-7"
"44",6,"Dawson Knox",BUF,"7","3 out of 5 stars","-"
"45",6,"Michael Mayer",LV,"8","2 out of 5 stars","-"
"46",6,"AJ Barner",SEA,"8","4 out of 5 stars","-"
"47",6,"Luke Musgrave",GB,"5","2 out of 5 stars","-"
"48",7,"Gunnar Helm",TEN,"10","3 out of 5 stars","-"
"49",7,"Austin Hooper",NE,"14","3 out of 5 stars","-"
"50",7,"Cade Stover",HOU,"6","3 out of 5 stars","-"
"51",7,"Foster Moreau",NO,"11","3 out of 5 stars","-"
"52",7,"Tommy Tremble",CAR,"14","4 out of 5 stars","-"
"53",7,"Luke Schoonmaker",DAL,"10","2 out of 5 stars","-"
"54",7,"Grant Calcaterra",PHI,"9","3 out of 5 stars","-"
"55",7,"Josh Oliver",MIN,"6","3 out of 5 stars","-"
"56",7,"Jeremy Ruckert",NYJ,"9","3 out of 5 stars","-"
"57",7,"Stone Smartt",NYJ,"9","3 out of 5 stars","-"
"58",7,"Darnell Washington",PIT,"5","3 out of 5 stars","-"
"59",7,"Mitchell Evans",CAR,"14","4 out of 5 stars","-"
"60",7,"Elijah Higgins",ARI,"8","5 out of 5 stars","-"
"61",7,"Julian Hill",MIA,"12","3 out of 5 stars","-"
"62",7,"Daniel Bellinger",NYG,"14","2 out of 5 stars","-"
"63",8,"Adam Trautman",DEN,"12","3 out of 5 stars","-"
"64",8,"Greg Dulcich",NYG,"14","2 out of 5 stars","-"
"65",8,"Kylen Granson",PHI,"9","3 out of 5 stars","-"
"66",8,"Johnny Mundt",JAC,"8","3 out of 5 stars","-"
"67",8,"Payne Durham",TB,"9","3 out of 5 stars","-"
"68",8,"Colby Parkinson",LAR,"8","4 out of 5 stars","-"
"69",8,"Josh Whyle",TEN,"10","3 out of 5 stars","-"
"70",8,"Brock Wright",DET,"8","3 out of 5 stars","-"
"71",8,"Luke Farrell",SF,"14","3 out of 5 stars","-"
"72",8,"Tanner Hudson",CIN,"10","2 out of 5 stars","-"
"73",8,"Harrison Bryant",HOU,"6","3 out of 5 stars","-"
"74",8,"John Bates",WAS,"12","3 out of 5 stars","-"
"75",8,"Hunter Long",JAC,"8","3 out of 5 stars","-"
"76",8,"Jelani Woods",IND,"11","3 out of 5 stars","-"
"77",8,"Charlie Woerner",ATL,"5","3 out of 5 stars","-"
"78",8,"Luke Lachey",HOU,"6","3 out of 5 stars","-"
"79",8,"Mo Alie-Cox",IND,"11","3 out of 5 stars","-"
"80",8,"Charlie Kolar",BAL,"7","3 out of 5 stars","-"
"81",8,"Jared Wiley",KC,"10","3 out of 5 stars","-"
"82",8,"Drew Ogletree",IND,"11","3 out of 5 stars","-"
"83",9,"Drew Sample",CIN,"10","2 out of 5 stars","-"
"84",9,"Eric Saubert",SEA,"8","4 out of 5 stars","-"
"85",9,"Tip Reiman",ARI,"8","5 out of 5 stars","-"
"86",9,"Lucas Krull",DEN,"12","3 out of 5 stars","-"
"87",9,"Andrew Beck",NYJ,"9","3 out of 5 stars","-"
"88",9,"Pharaoh Brown",MIA,"12","3 out of 5 stars","-"
"89",9,"Teagan Quitoriano",ATL,"5","3 out of 5 stars","-"
"90",9,"Robbie Ouzts",SEA,"8","4 out of 5 stars","-"
"91",9,"Thomas Fidone II",NYG,"14","2 out of 5 stars","-"
"92",9,"Ian Thomas",LV,"8","2 out of 5 stars","-"
"93",9,"Jake Briningstool",KC,"10","3 out of 5 stars","-"
"94",9,"Devin Culp",TB,"9","3 out of 5 stars","-"
"95",9,"Brevyn Spann-Ford",DAL,"10","2 out of 5 stars","-"
"96",9,"Erick All Jr.",CIN,"10","2 out of 5 stars","-"
"97",9,"Jaheim Bell",NE,"14","3 out of 5 stars","-"
"98",9,"Durham Smythe",CHI,"5","4 out of 5 stars","-"
"99",9,"Will Mallory",IND,"11","3 out of 5 stars","-"
"100",9,"Jackson Hawes",BUF,"7","3 out of 5 stars","-"
"101",9,"Tanner Conner",MIA,"12","3 out of 5 stars","-"
"102",9,"Nate Adkins",DEN,"12","3 out of 5 stars","-"
"103",9,"Gavin Bartholomew",MIN,"6","3 out of 5 stars","-"
"104",9,"Moliki Matavao",NO,"11","3 out of 5 stars","-"
"105",9,"Robert Tonyan",KC,"10","3 out of 5 stars","-"
"106",9,"Davis Allen",LAR,"8","4 out of 5 stars","-"
"107",9,"Brayden Willis",SF,"14","3 out of 5 stars","-"
"108",10,"Blake Whiteheart",CLE,"9","3 out of 5 stars","-"
"109",10,"Shane Zylstra",DET,"8","3 out of 5 stars","-"
"110",10,"Ross Dwelley",FA,"-","-","-"
"111",10,"Ben Sims",GB,"5","2 out of 5 stars","-"
"112",10,"Connor Heyward",PIT,"5","3 out of 5 stars","-"
"113",10,"Chris Manhertz",NYG,"14","2 out of 5 stars","-"
"114",10,"Jalin Conyers",MIA,"12","3 out of 5 stars","-"
"115",10,"James Mitchell",CAR,"14","4 out of 5 stars","-"
"116",10,"Caleb Lohner",DEN,"12","3 out of 5 stars","-"
"117",10,"Zach Horton",DET,"8","3 out of 5 stars","-"
"118",10,"Tanner McLachlan",CIN,"10","2 out of 5 stars","-"
"119",10,"Jack Stoll",NO,"11","3 out of 5 stars","-"
"120",10,"Brenden Bates",CLE,"9","3 out of 5 stars","-"
"121",10,"Tucker Fisk",LAC,"12","3 out of 5 stars","-"
"122",10,"Brady Russell",SEA,"8","4 out of 5 stars","-"
"123",10,"Nick Kallerup",SEA,"8","4 out of 5 stars","-"
"124",10,"Ko Kieft",TB,"9","3 out of 5 stars","-"
"125",10,"Jake Tonges",SF,"14","3 out of 5 stars","-"
"126",10,"David Martin-Robinson",TEN,"10","3 out of 5 stars","-"
"127",10,"Josiah Deguara",ARI,"8","5 out of 5 stars","-"
"128",11,"Gee Scott Jr.",NE,"14","3 out of 5 stars","-"
"129",11,"Kenny Yeboah",DET,"8","3 out of 5 stars","-"
"130",11,"Irv Smith Jr.",HOU,"6","3 out of 5 stars","-"
"131",11,"Sean McKeon",IND,"11","3 out of 5 stars","-"
